	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_0011	0	24	0	24	0	16	0	16	0	0	29	92	46	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	83	131	67	197	47	32	40	40	51	104	33	52	192	159	141	202	239	0	0	0	0	0	0	0	0	0	0	0	0	163	404	196	105	335	154	58	147	64	261	625	233	16	38	22	27	34	18	43	218	98	73	117	59	0	0	0	0	0	0	0	0	0	0	0
ASV_0012	0	0	0	0	0	50	0	54	0	0	99	489	133	0	0	66	0	0	0	80	80	64	0	78	57	0	0	0	0	66	0	0	221	213	0	151	0	0	100	69	0	102	0	0	72	83	0	0	0	0	70	0	0	93	0	0	0	0	0	0	0	121	329	142	82	220	96	0	131	54	98	260	92	0	0	0	0	103	50	114	390	183	113	208	110	0	0	123	0	0	0	0	31	0	0	0
ASV_0013	0	20	22	66	50	19	62	75	0	149	62	20	62	80	80	106	9	0	13	61	11	33	26	30	45	18	0	14	15	10	7	6	7	98	78	34	78	131	93	137	163	69	166	164	158	149	169	127	172	109	68	78	52	44	83	0	0	0	0	0	0	91	14	82	80	14	95	67	54	102	227	26	66	57	28	25	58	21	32	132	87	143	119	47	178	10	0	43	0	0	0	0	0	0	0	0
ASV_0014	0	40	66	68	45	26	70	47	179	72	26	4	13	9	0	9	0	0	0	114	57	93	102	71	102	112	67	121	251	52	77	0	4	96	71	23	66	33	18	8	17	0	16	0	0	0	0	0	0	95	37	54	39	33	45	0	185	263	212	140	154	49	17	62	48	6	58	50	46	66	25	7	14	0	0	0	0	0	0	56	21	44	50	16	41	208	165	42	218	113	180	0	15	0	0	0
ASV_0015	0	36	58	82	65	56	87	117	0	175	138	19	89	56	71	86	0	3	0	95	26	67	85	34	81	0	0	0	32	0	0	0	9	153	124	49	160	164	90	110	147	49	112	104	117	65	104	84	93	150	94	115	90	90	134	0	0	0	0	0	0	70	13	65	57	12	61	57	33	91	61	0	49	0	0	0	0	0	0	66	50	57	54	28	64	0	0	44	0	0	0	0	0	0	0	0
ASV_0016	0	52	50	120	78	26	72	82	18	126	82	9	62	70	75	81	2	0	0	88	20	79	95	30	95	84	26	58	130	20	37	0	7	65	36	20	54	85	49	65	66	33	63	60	81	66	73	54	40	50	38	38	33	26	34	0	13	9	3	0	5	52	22	67	43	6	46	83	50	86	115	30	74	0	6	8	9	4	2	153	40	158	94	28	141	26	15	47	12	19	12	0	6	0	0	0
ASV_0017	0	55	40	119	94	45	85	99	0	150	59	19	50	68	84	109	69	0	0	128	44	93	91	30	69	18	5	11	24	0	26	0	7	80	72	34	80	63	55	77	105	38	65	49	81	44	69	53	71	108	55	72	106	53	119	0	3	0	4	10	0	66	0	98	61	19	84	51	26	56	53	17	29	0	22	0	0	0	0	93	51	114	69	38	81	0	0	34	0	0	0	0	0	20	0	0
ASV_0018	0	0	6	16	14	14	11	34	0	39	20	39	0	27	29	20	0	0	0	40	26	33	41	15	30	0	0	0	5	0	0	61	59	90	49	73	24	57	93	127	37	51	36	122	216	174	56	65	100	38	28	43	39	23	27	0	0	0	0	17	0	141	172	131	101	104	138	51	73	54	98	153	81	0	0	17	0	0	0	47	109	130	91	72	79	0	0	197	2	0	0	0	0	0	0	0
ASV_0019	0	46	12	37	33	22	38	60	0	57	49	10	34	49	54	89	0	24	0	52	16	30	81	8	53	0	0	0	8	0	0	44	13	74	63	30	50	136	76	130	174	64	119	149	150	87	178	112	139	96	46	59	82	57	97	0	0	0	0	0	0	63	20	58	53	0	68	33	36	56	95	0	80	0	0	46	0	16	0	63	34	70	51	24	72	0	0	0	0	0	0	0	0	0	0	0
ASV_0020	0	0	37	0	0	51	38	0	0	0	0	821	118	3	755	721	11	411	146	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	84	0	0	20	0	0	19	5	0	0	0	0	74	0	0	0	0	0	137	0	0	87	13	0	53	0	0	48	0	0	17	0	0	0	0	0	35	0	0	37	0	0	13	10	0	0	189	0	0	0	0	0	0	0	0
